xi,xj,LLM_model
Yesterday I went,"Yesterday I went to see my brother, who is gay and very sick. I am at a loss as to how to put this into words, as he's been suffering with ALS for the last 10 years, but now finally on the cusp of",GPT-Neo
Yesterday I went,"Yesterday I went for a few days in October and now I'm back in February and again every day. I love hiking in the US, but it's a new thing and now my mind is in an unfamiliar place, making my whole trip a bit",GPT-2
Yesterday I went,Yesterday I went to the gym and I was so tired I couldn't even do a single push up. I was so sore I couldn't even walk. I was so tired I couldn't even do a single push up. I was so sore,OPT
The cat jumped,"The cat jumped to the window sill and looked out at the night. The street had changed, its sidewalks covered with darkly glittering snow. The wind was blowing up to the fourth floor window of the building next door. A white object shot into",GPT-Neo
The cat jumped,"The cat jumped into a puddle. When she saw how quickly it had jumped off the water's edge, she looked round so she could see where it was.

""What?"" A red-red-hot face spoke, an unruly",GPT-2
The cat jumped,"The cat jumped on the bed and the dog jumped on the bed.
The cat jumped on the bed and the dog jumped on the bed.
The cat jumped on the bed and the dog jumped on the bed.
The cat jumped on",OPT
She opened the,"She opened the door to the study, and the room was dark. She heard no one. She turned on the light.

""How did he die?"" she asked.

His eyes narrowed. She saw the gleam of a scar",GPT-Neo
She opened the,"She opened the door, as if to pick up his wand and turned to see a man on the left standing in their open lot, staring off at him.

""He's dead,"" said Snape, his arm raised slightly in the air.",GPT-2
She opened the,She opened the door for you to go in.  You're not entitled to anything.  You're not entitled to her time.  You're not entitled to her attention.  You're not entitled to her time.  You're not,OPT
In the morning,"In the morning

In the morning

You'll always find me

Gone away

The man said he was an angel

And he made a picture

He was in a church

In the morning",GPT-Neo
In the morning,"In the morning, Kiel and his friends gathered at the bar at the park which had fallen victim to the storms.

The park was closed to vehicles in most areas with no sign of any cars parked. A number of the cars that entered",GPT-2
In the morning,"In the morning, I wake up and I'm like ""I'm going to go to the gym today"" and then I'm like ""I'm going to go to the gym today"" and then I'm like ""I'm going to go",OPT
He decided to,"He decided to call her Mavis by the time he got to her. ""Hello, Mavis,"" he said, and he held out a hand. Mavis's hand went right through his hand and out of his body. The last thought he",GPT-Neo
He decided to,"He decided to take control of Yakuza Rival which would take his place as ""boss"" of Kaku. However, Yakuza Rival was able to stop his army and the rest of his army was crushed.

Yaku",GPT-2
He decided to,"He decided to go to the hospital because he was having trouble breathing.
I'm sorry, but I don't understand.
He was having trouble breathing.
I'm sorry, but I don't understand.
He was having trouble breathing",OPT
The book fell,"The book fell on my lap. A long, black, oversize, battered paperback. It was on a shelf beside a glass case filled with old glass animals. I picked it up. I flipped it open, and I knew I was going to",GPT-Neo
The book fell,"The book fell short in my first attempt for many reasons, which made me realize that I was very different from the most popular, successful, most popular, successful, famous people on the planet.

I was in a different realm from this person",GPT-2
The book fell,"The book fell off the shelf and broke.
I'm not sure if you're joking or not, but that's not how books work.
I'm not joking.  I've seen it happen.  It's not a good look",OPT
They laughed at,"They laughed at him as he left the shop that evening, but it didn't seem to bother him. He could be at the store all day doing whatever he wanted, and the store wouldn't bother him or bother anyone else. But he couldn't",GPT-Neo
They laughed at,"They laughed at me all the time, then a few of those kids came in,"" he says. ""I was like, 'If anyone is paying attention to you, then this is your problem.' ""

As for his sister — ""I",GPT-2
They laughed at,"They laughed at me for saying I was going to be a doctor.
I'm sorry to hear that. I hope you're doing better now.",OPT
A sudden noise,"A sudden noise has roused me from sleep.

A loud crash and a long hissing whistle followed by a loud crack.

I groan.

And my pillow rumbles and turns.

The room is full of",GPT-Neo
A sudden noise,"A sudden noise, filled with smoke, echoed from the car's windows. The pilot was startled by the unusual sight of a pilot's gun and shot several times through the pilot's helmet at least four times, all before returning to the cockpit.",GPT-2
A sudden noise,"A sudden noise from the back of the house.
I'm sorry, I'm not sure what you mean.
I'm sorry, I'm not sure what you mean.
I'm sorry, I'm not sure what you mean.",OPT
The old man,"The old man said to them, ""Do you know that I am going a-leavin', you fools? And when I am gone I will take everything there is of this house with me. In fact, I will take everything and everybody in",GPT-Neo
The old man,"The old man's voice was almost too strong, and he said, in a whisper: 'Listen, son of a bitch's heart, there's someone who's going to kill a baby.'

'But is this girl really a girl?'",GPT-2
The old man,"The old man is a fucking legend.
I'm not sure if he's a legend, but he's definitely a legend.",OPT
Running through the,"Running through the weekend at home on my own, I feel like someone is watching me. A tiny person in a huge room, holding a tiny camera in a tiny hand.

The camera is pointed directly at my face. There’s",GPT-Neo
Running through the,"Running through the numbers? Then why bother looking.

No matter the outcome, a team has to be able to beat them because it has to be at least an A-League team that can do so. And while this is certainly a big",GPT-2
Running through the,"Running through the woods with a knife.
I'm not sure if you're joking or not, but that's actually a pretty good idea.
I'm not joking. I've done it. It's not fun. I'm not sure",OPT
"Slowly, the sun","Slowly, the sun sank behind the ridge of mountains and the air cooled and, for a moment, was like velvet. I sat up and began to feel the chill of the night air on my back. In a moment or two, I heard",GPT-Neo
"Slowly, the sun","Slowly, the sun came out. His eyes moved back and forth as the air blew away.

In a small dim room with a dim green-and-green glassware sink and a few couches, where the sun shone in the",GPT-2
"Slowly, the sun","Slowly, the sun is rising.

The sun is rising.

The sun is rising.

The sun is rising.

The sun is rising.

The sun is rising.

The sun is rising",OPT
"Without hesitation, she","Without hesitation, she took him in her mouth.

Her tongue explored his, exploring. Her tongue explored, tasting, exploring. The sweet taste of his flesh coated her tongue. She pulled the man closer for a taste, for a taste.",GPT-Neo
"Without hesitation, she","Without hesitation, she began to climb out into the open sunlit trees. Looking around, Blake stared at Pyrrha, uncertain what her true feelings for her were. Pyrrha stood and held her hands. ""I love you so much Nora, so much.",GPT-2
"Without hesitation, she","Without hesitation, she's the best.
I agree. She's the best.",OPT
The door creaked,"The door creaked and cracked open and she walked out, leaving the bag of clothes on the floor. I sat up. ""Good morning.""

""Good morning."" Her hand went up to brush the hair back from her face. Her cheeks",GPT-Neo
The door creaked,"The door creaked open, and I heard a strong and deep voice, ""The girl is here? I want her back…!""

""Oh, I know."" With that I took off my boots and my hat, and rushed towards her",GPT-2
The door creaked,"The door creaked open and the door closed.

The door creaked open and the door closed.

The door creaked open and the door closed.

The door creaked open and the door closed.

The",OPT
