xi,xj,LLM_model
The sun peeked,"The sun peeked over the white sand of the Gulf of Mexico this past weekend. It wasn’t a perfect day, but it was beautiful enough to give me the chance to test my new Wahoo! 5.1. I rode it",GPT-Neo
The sun peeked,"The sun peeked up and found the small hole in the back of the ship. She had lost her sight in that narrow spot…

""Hey, I forgot I'm not looking out of that hole with my eyes when it came to the",GPT-2
The sun peeked,"The sun peeked out from behind the clouds and the sky was a deep blue.
The sun was shining brightly and the sky was a deep blue.
The sun was shining brightly and the sky was a deep blue.
The sun was",OPT
In the alley,"In the alley outside of the church, she said, was a huge, red, painted wooden cross. She had been told by a priest that it had been there since she was a child, that it was supposed to be an image of Jesus Christ",GPT-Neo
In the alley,"In the alleyway, in the alleyway or in any alley below. Be sure to not look down by your steps. If you see any kind of people, call the police.

Get on top of your dog on leash. This might",GPT-2
In the alley,"In the alley behind the house, there's a small pond.",OPT
She danced to,"She danced to her own drumbeat, keeping up her rhythm and pace for nearly three hours. Her heart was racing with excitement as she faced the crowd of people who were curious to see what she was all about. She kept her eyes trained on the",GPT-Neo
She danced to,"She danced to the tune he wanted to hear, while he sat on the floor, a man in his late 20s who had an office, a coffee table, some clothes and a car he'd bought a year before, all packed tight in his",GPT-2
She danced to,"She danced to the beat of her own drum.
She was a drummer.",OPT
The plane soared,"The plane soared past the hills and glens of Arran and then, after what seemed like hours, the landscape leveled out. The sun shone down on them, reflecting off the silver-gray waters of the Solway Estuary at their backs and",GPT-Neo
The plane soared,"The plane soared up to 50,000 feet, and reached a new altitude of up to 1,500 feet as it went above the clouds. A plane with a wingspan of 300 feet was shot down by a missile fired from the southwest. A",GPT-2
The plane soared,"The plane soared through the air, and the pilot was flying it.
The plane flew through the air, and the pilot was flying it.
The plane flew through the air, and the pilot was flying it.
The plane flew through",OPT
With a start,"With a start at 7:10 a.m., the temperature in the kitchen-cum-study is at 94 degrees.

""It's the coldest day in the month,"" says Nadezhda, who, on her last day",GPT-Neo
With a start,"With a start out, here's an overview of what I've already written so far, it contains some general information:

Sustainability

I'm not going to go through everything that follows. First of all, I'd like to",GPT-2
With a start,"With a start like that, I'm sure you'll be fine.
I'm sure you're right.",OPT
He painted the,"He painted the picture with the colors of the world. Her painting was the colors of the world around her, of her country, of me.""

—from the biography of Mme. Paul Gauguin

# **4**",GPT-Neo
He painted the,"He painted the city and her family like he wanted to say you were an artist and she believed he was right, and she felt that, for him, it was a gift for her, something she'd been gifted.""

The man was captured",GPT-2
He painted the,"He painted the whole thing?
I think he did. I'm not sure though.",OPT
The lake reflected,"The lake reflected the light so she didn't notice him, but she was so pleased with his answer she couldn't let it go.

""You see, I think there's a mystery to this thing, and maybe you could solve it.""",GPT-Neo
The lake reflected,"The lake reflected the sunlight, so the lake's surface was covered. One of the lake's six lakes had eight beds. The next lake had a larger two-roomed campground.

It was a small village, and this location had",GPT-2
The lake reflected,"The lake reflected in the water is beautiful.
I was thinking the same thing.  I love the reflection of the lake in the water.",OPT
Slowly but surely,"Slowly but surely, the government is moving toward a fully-fledged war.

By some estimates, the United States will invade Iraq under the guise of overthrowing its government, and to ""protect its citizens"" from threats to their national security",GPT-Neo
Slowly but surely,"Slowly but surely, his father used her like he always used them with every passing year. He didn't like her but he did want her, and all that changed when they both stopped talking about it.""

""I didn't have any",GPT-2
Slowly but surely,"Slowly but surely, the world is becoming a better place.
I'm not sure if you're being sarcastic or not, but I'm glad you think so.",OPT
Under the bridge,"Under the bridge was a large stone, with

a hole where the rock had been hacked

from its place of rest, and a hole where the rock had

been put back into its place of rest. When the sun",GPT-Neo
Under the bridge,"Under the bridge, I took a deep breath, took a deep breath in and kept on getting worse and worse.

After a very long time, I felt like I was walking into an eternity. My mind was in such a state, it",GPT-2
Under the bridge,"Under the bridge

Under the bridge may refer to:

Places

United States
Under the Bridge, a neighborhood in the Bronx, New York City
Under the Bridge (film), a 2010 film
Under the Bridge (",OPT
The crowd cheered,"The crowd cheered.""

I nodded.

""He made the biggest mistake of his life,"" I said, remembering. ""But he didn't get away with it. He was killed by that stupid little woman. She's the one who",GPT-Neo
The crowd cheered,"The crowd cheered as well.

""Thank you for signing up, everyone!"" Yang gasped, trying to regain her composure.

""Thank you, I'm fine!""

Yang hugged Yu IlHan hard and said, ""That was",GPT-2
The crowd cheered,"The crowd cheered when he said ""I'm not a racist""
I was there and I was like ""oh shit, he's not racist""",OPT
As night approached,"As night approached, a few of the boys remained to help me finish loading what was left of the wagon: The last load of fuel and fresh-cut lumber, which was a good deal lighter than the one before. I got into the wagon bed",GPT-Neo
As night approached,"As night approached, the soldiers in the armored vehicles stood. ""They said he was a civilian,"" said a soldier. ""They knew better. They didn't like him. They didn't like him because he was a member of ISIS. They said",GPT-2
As night approached,"As night approached, the crowd grew restless.
The air was thick with the smell of alcohol and the smell of sweat.
The crowd was restless.
The air was thick with the smell of alcohol and the smell of sweat.
The",OPT
The butterfly landed,"The butterfly landed on the back of my neck as the wind blew through the front window and turned my head. My eyes were blinded by tears, and I wondered where the man was standing when he heard the engine die of age. I heard a loud",GPT-Neo
The butterfly landed,"The butterfly landed on my head and my chin were red. Before I could pull myself back in, I pulled a hard edge of my shirt. I tried to hold it on, but it bounced off and fell on my face. An instant later,",GPT-2
The butterfly landed,"The butterfly landed on the tree.
The butterfly landed on the tree.
The butterfly landed on the tree.
The butterfly landed on the tree.
The butterfly landed on the tree.
The butterfly landed on the tree.
The",OPT
"Quietly, she sang","Quietly, she sang some softly whistled songs, and then she stood up.

At her feet was a small box, and upon the lid, painted like a star, was the royal crest, and in gold lettering it read",GPT-Neo
"Quietly, she sang","Quietly, she sang, ""Why, have you been so mad, little woman? I would only take her and give her all"" -- ""But don't go anywhere,"" she sang, ""I want her, she's an orphan,",GPT-2
"Quietly, she sang","Quietly, she sang the song of her people.

The song of her people.

The song of her people.

The song of her people.

The song of her people.

The song of",OPT
The storm brewed,"The storm brewed in the sky. It grew cold, colder, colder. The wind roared through the trees and blew from the sea. Everything about the room felt heavy, and the air hung heavy with the same weight.

One of his shoes",GPT-Neo
