xi,xj,LLM_model,prompt_id
Walking down the,"Walking down the streets with a knife with any kind of weapon, I get a lot of messages from people saying, 'Oh, those people just got killed by a terrorist, and I'm going to get all of yours,'"" Shaver said.",GPT-2,619
The car honked,"The car honked and an older, older woman in a wheelchair waved at me.",GPT-Neo,352
The leaves rustled,The leaves rustled but never changed.,GPT-2,470
She turned away,She turned away from the window and looked at him.,Falcon-7B,276
Beneath the trees,"Beneath the trees: The ‘unimaginative’ nature of many children’s books



It is the autumn that sees the booksellers and their staff in their crisp, white chef aprons at work.",GPT-Neo,71
The sweat dripped,The sweat dripped from my forehead and I looked over to the sun in the mist.,GPT-2,575
He turned around,He turned around and looked at me.,OPT,139
The bread crackled,"The bread crackled slightly, the cheese was so juicy, so smoky, so flavorful, and so good.",GPT-2,335
As they trembled,"As they trembled as they heard about that, the man was surprised that there was another one; it was him, but he did not dare to talk, even when he wanted to be as friendly to all men, as he was once.",GPT-2,63
The sun peeked,The sun peeked over the horizon and warmed me up.,GPT-Neo,572
The garden flourished,"The garden flourished, and the
winter was well spent.",BLOOM,437
In the square,"In the square, the first row is the first row of the square, and the second row is the second row of the square.",BLOOM,204
The train rumbled,"The train rumbled and creaked, and the world was still.",GPT-Neo,588
He donned the,"He donned the order to the
soldiers to go to the town, and the men were sent to the town, and
they were sent to the town, and they were sent to the town, and they
were sent to the town",BLOOM,111
The door opened,The door opened and I saw a man in a white lab coat.,OPT,404
The stars twinkled,The stars twinkled in the sky as the sun set over the ocean.,OPT,566
With a frown,"With a frown, he looked at the other soldiers.",GPT-Neo,635
The flavors balanced,"The flavors balanced nicely, and they were both delicious.",GPT-Neo,428
With great effort,"With great effort, the company was finally able to determine exactly how to make an effective device with an adjustable design without losing its grip on the traditional design.",GPT-Neo,667
With a wink,"With a wink and a nod to the “I’m not a crook” line from Richard Nixon’s 1972 presidential campaign, the Obama campaign has released a new ad that features the president saying, “I’m not",Falcon-7B,662
The candle burned,The candle burned out.,OPT,346
"Gently, he pushed","Gently, he pushed her away.",BLOOM,89
The sun set,"The sun set in the morning, and the wind was blowing in the
direction of the west.",BLOOM,574
With a bow,"With a bow and arrow, the
warrior, who had been in the midst of the battle, was now
reaching the point of the spear, and the arrow was pointing to the
head of the enemy.",BLOOM,621
The dough rose,The dough rose to the surface and the dough was very soft.,BLOOM,407
As they talked,"As they talked about the future, they were all talking about the future of the world.",BLOOM,60
The circuit connected,The circuit connected to each pin.,GPT-Neo,367
"Gently, he pushed","Gently, he pushed her back against the wall.",OPT,89
As she walked,"As she walked back from the balcony, the woman pulled out a gun and struck Weiss in the heart.",GPT-2,17
The guitar strummed,The guitar strummed a familiar tune.,Falcon-7B,446
As they danced,"As they danced, the two men were joined by a third man, who was also a member of the group.",OPT,33
The sun set,"The sun set on the last day of the year, and the last day of the year was the last day of the year.",OPT,574
As they celebrated,"As they celebrated the end of the year, the team at the University of California, Berkeley, announced that they had discovered a new type of supermassive black hole.",OPT,27
In the park,"In the park, in the park, in the park, in the park, in the park, in the park, in the park, in the park, in the park, in the park, in the park, in the park, in",OPT,196
Beneath the trees,"Beneath the trees, the sun is shining.",Falcon-7B,71
In the workshop,"In the workshop on the development of the ITER project, two teams, those funded under the programme, and a third team, the consortium, demonstrated their efforts to advance the science, technology, and human factors involved in the building of the world's",GPT-Neo,212
The plants thrived,"The plants thrived in the greenhouse, and the seeds were planted in the garden.",Falcon-7B,519
In the shadows,"In the shadows, there is an older brother, a younger sister who is an alcoholic, a former teacher and a woman's bodyguard.",GPT-2,201
The wind whispered,"The wind whispered through the trees and whistled through the branches above; in the summer, the leaves trembled like sails unfurling in the wind.",GPT-Neo,611
The pencil scratched,The pencil scratched the paper.,OPT,513
The bags filled,The bags filled with the food were placed in the refrigerator for up to 2 days.,BLOOM,318
In the studio,"In the studio with the band
The band is in the studio recording their new album.",Falcon-7B,207
The balloon floated,"The balloon floated over the city of Chicago, Illinois, USA, on 16 September 2017.",Falcon-7B,319
The fire flickered,"The fire flickered in the distance, and the light of the fire was
shining in the distance.",BLOOM,422
With a heavy,"With a heavy heart, I have a confession to make.",GPT-Neo,641
In the silence,"In the silence of the night,
I hear the sound of your voice,
I feel the warmth of your touch,
I see the light of your eyes,
I smell the fragrance of your breath,
I taste the sweetness of your",Falcon-7B,203
The grass swayed,"The grass swayed and began to twitching, and the grass and the soil were slowly falling.",GPT-2,444
With a splash,"With a splash of paint on its skin, the model should look like an old leather jacket.",GPT-2,654
The fog rolled,The fog rolled in and the rain started to fall.,OPT,435
With a laugh,"With a laugh, I said, “Well, I don’t know.",BLOOM,642
In the theater,"In the theater, I was sitting next to a guy who was talking to his girlfriend.",OPT,210
The car started,"The car started to move, and the driver was trying to get out of the way.",OPT,354
The book shut,The book shut down the entire internet.,OPT,333
She sat down,"She sat down at the breakfast table, a bowl of what looked like blackberry jam.",GPT-Neo,263
The ocean roared,The ocean roared past the sun.,GPT-2,503
He sculpted the,"He sculpted the character a little more, in particular with his signature ""You Know Where I'm At.",GPT-2,129
As they performed,"As they performed their duties, the men who followed the drill instructor had to know and follow an elaborate code of conduct.",GPT-Neo,49
As they watched,"As they watched, you could hear his face crinkles with excitement.",GPT-2,66
The moon rose,The moon rose and the stars were shining.,BLOOM,490
"Slowly, she walked","Slowly, she walked away from the room, and the
wonderful, beautiful, and beautiful girl, who had been so kind to her,
was gone.",BLOOM,300
In the server,"In the server, the user can select the type of the file to be uploaded.",BLOOM,200
In the bedroom,"In the bedroom, the bed is a bit too big for me.",BLOOM,153
The grass swayed,"The grass swayed in the wind, the sun shone down on the green, and the birds chirped in the trees.",Falcon-7B,444
He stood up,He stood up and looked at the man.,BLOOM,134
The bees buzzed,"The bees buzzed in the trees, they buzzed in their nests.",GPT-Neo,320
As they harmonized,"As they harmonized the song, I was thinking ""I wonder if they're going to do the same thing with the other songs.",OPT,43
The plot thickened,The plot thickened and the temperature increased.,BLOOM,520
"Quietly, she whispered","Quietly, she whispered, ""I'm sorry.",Falcon-7B,229
The bell tolled,The bell tolled on a big hillside in a small village which had stood around the end of its hill.,GPT-2,324
The rain stopped,The rain stopped.,OPT,534
In the garden,"In the garden, the flowering plants are in bloom.",BLOOM,177
The music played,The music played by the band is a mix of traditional and contemporary music.,Falcon-7B,496
The fire flickered,The fire flickered for a long time before disappearing beneath the sea.,GPT-Neo,422
"Silently, she crept","Silently, she crept forward, and with the utmost calmness, opened the
bundle.",GPT-Neo,281
The train whistled,The train whistled as it pulled into the station.,Falcon-7B,589
In the laboratory,"In the laboratory, the researchers used a technique called “electron microscopy” to examine the structure of the protein.",OPT,182
The canvas came,The canvas came out beautifully.,BLOOM,351
The arrow flew,"The arrow flew overhead as a hawk, and there were a flash and a crack, and the hawk was nothing more than a memory.",GPT-Neo,309
The waves lapped,"The waves lapped at the shore, the sun was shining, and the water was warm.",Falcon-7B,604
"Slowly, he stirred","Slowly, he stirred himself up and
went to the door.",BLOOM,291
As justice prevailed,"As justice prevailed, the court ruled that the ""luggage tax"" should be assessed.",GPT-Neo,10
"Suddenly, a loud","Suddenly, a loud, angry, and very angry man.",OPT,303
She debugged the,"She debugged the code and found that the problem was that the ""if"" statement was not being executed.",Falcon-7B,240
The bread baked,"The bread baked with a homemade version will be a hearty, hearty meal, especially for the holidays.",GPT-2,334
In the kitchen,"In the kitchen of a small house in the hills outside Los Angeles, a group of men and women—two men, six women, two children—are preparing lunch.",GPT-Neo,181
The seedling grew,"The seedling grew with its original colouring, then gave way at a very rapid rate, after one or two hatching, so that when the seedling was killed by the shell in a small bucket, the soil would appear white as one would",GPT-2,548
The snow melted,The snow melted and the wind was blowing.,BLOOM,557
She looked down,"She looked down at the table and saw that the
servant was not in the room.",BLOOM,250
He climbed the,"He climbed the narrow staircase into a black-walled, square room, illuminated by candles and torchlight.",GPT-Neo,106
The keys played,The keys played music for me.,GPT-Neo,459
He looked away,"He looked away, and I knew he was thinking about his wife.",Falcon-7B,115
In the den,"In the den, the fireplace is the focal point of the room.",Falcon-7B,168
With a flourish,"With a flourish, he removed the helmet and revealed a shaven and muscular head adorned with a large, bushy eyebrow.",GPT-Neo,634
The moon rose,The moon rose over the mountains to guide us north.,GPT-Neo,490
The robot moved,"The robot moved to the right and left, and then to the right and left again.",BLOOM,540
The light bulb,The light bulb (black) is the second half of the bulb.,GPT-2,474
"Suddenly, a loud","Suddenly, a loud thud occurred, and his right arm was torn.",GPT-2,303
The water splashed,The water splashed after the storm.,GPT-2,600
With a frown,"With a frown on his face, he looked at the man who had just entered the room.",OPT,635
The rain drizzled,"The rain drizzled down on the streets of the city of San Francisco, California, on a warm, sunny day.",OPT,529
The adventure unfolded,"The adventure unfolded in the midst of a world of war, and the story of the heroine, a young girl who was sent to the front to fight in the war, is told in the form of a story of love and adventure.",BLOOM,305
"Carefully, he poured","Carefully, he poured the water into the glass.",OPT,77
As morning broke,"As morning broke, and the sun was shining, I was ready to go to bed.",BLOOM,11
The car stopped,The car stopped at the corner of the road and the driver was stopped by the police.,BLOOM,355
"Slowly, he breathed","Slowly, he breathed in the air, and
he saw the light of the fire rising in the distance.",BLOOM,284
In the distance,"In the distance, the water was crystal clear,

And in its depths the fish was flitting

Like bees buzzing in swarms about the sun,

Or flitting about a sunlit garden;

They were as real",GPT-Neo,169
"Carefully, she mixed","Carefully, she mixed up the food on her plate, then held up her right hand so that the man in the kitchen could watch as she dipped her fingers in the stewed mushrooms, put them in her mouth, then scooped up the last",GPT-Neo,85
